iter	MultiRMSE
0	0.9624995113
1	0.9516739883
2	0.9385310769
3	0.9250119759
4	0.9132515794
5	0.9002917415
6	0.8889138593
7	0.8782502473
8	0.8659646644
9	0.8572411053
10	0.8497648676
11	0.8413642262
12	0.832365249
13	0.8254294352
14	0.8163585512
15	0.8071416585
16	0.8015517476
17	0.7929065979
18	0.7847013561
19	0.7759813063
20	0.7691447019
21	0.7634774624
22	0.7561408029
23	0.7517043568
24	0.7477947992
25	0.7411104237
26	0.7355363196
27	0.7305830865
28	0.7246244396
29	0.7175865365
30	0.7143533463
31	0.7087752715
32	0.7026433467
33	0.6965676646
34	0.6913557434
35	0.6874802197
36	0.6846181438
37	0.6804615556
38	0.6766115426
39	0.6721636108
40	0.6686598752
41	0.6639288724
42	0.6603228412
43	0.6561025315
44	0.6532312566
45	0.64824224
46	0.6454014239
47	0.6406677491
48	0.6376079096
49	0.6347167878
50	0.6304180903
51	0.6276337281
52	0.6247984827
53	0.6219980052
54	0.6188550042
55	0.616231754
56	0.6131375584
57	0.6111063286
58	0.607735739
59	0.6062566811
60	0.6027597782
61	0.5998231652
62	0.5967231463
63	0.5944786535
64	0.5910563442
65	0.5882627686
66	0.5864148265
67	0.5841354881
68	0.5810961039
69	0.5790237284
70	0.577733955
71	0.5745358575
72	0.5738537779
73	0.5720908783
74	0.5708071763
75	0.5686292487
76	0.5667872417
77	0.5654438307
78	0.5634145496
79	0.5629043713
80	0.5606396638
81	0.55877471
82	0.5582638097
83	0.5568958358
84	0.554847325
85	0.5532555718
86	0.5518803446
87	0.5503749012
88	0.5487877678
89	0.5476586306
90	0.546260135
91	0.5451496443
92	0.5438349862
93	0.5421078151
94	0.5411001184
95	0.5399810206
96	0.5390588719
97	0.5376802804
98	0.5364171713
99	0.5351702624
100	0.5336763109
101	0.5326187463
102	0.5314878315
103	0.5308745968
104	0.5302406016
105	0.5290117582
106	0.5283594617
107	0.527254852
108	0.5270432557
109	0.5265322916
110	0.5260928458
111	0.5253492064
112	0.5246254894
113	0.5240570295
114	0.523090063
115	0.5228110398
116	0.5218593665
117	0.5207822252
118	0.5197928958
119	0.5192847634
120	0.5184175812
121	0.5178858808
122	0.5172734908
123	0.5168482671
124	0.5162721229
125	0.5156877494
126	0.5146010762
127	0.5138058974
128	0.5130322075
129	0.5117088225
130	0.511386987
131	0.5107148094
132	0.5099470619
133	0.509532936
134	0.5088815271
135	0.5078939273
136	0.5073355439
137	0.5068343685
138	0.5063565459
139	0.5056290657
140	0.5055171366
141	0.5045129825
142	0.5042345408
143	0.5036611763
144	0.5031835537
145	0.5025520802
146	0.5020936156
147	0.5012390995
148	0.5004785623
149	0.4995713081
150	0.4990844929
151	0.4985318228
152	0.4979107292
153	0.4976103386
154	0.4964215966
155	0.4959163334
156	0.4953683753
157	0.4948968925
158	0.494348912
159	0.4933077671
160	0.4927847695
161	0.4918088409
162	0.4913768948
163	0.490716456
164	0.4898785371
165	0.4890672315
166	0.4887547313
167	0.4886242295
168	0.4881299509
169	0.4879164639
170	0.4875250326
171	0.4870060198
172	0.4867822532
173	0.4863534169
174	0.4859955544
175	0.4853547291
176	0.4844686908
177	0.4840754716
178	0.4837778041
179	0.4831321767
180	0.4828005839
181	0.4820710541
182	0.4817133961
183	0.481171914
184	0.4804621161
185	0.4794528331
186	0.4788723307
187	0.4785278424
188	0.4780316255
189	0.4774287323
190	0.4770773724
191	0.4767889847
192	0.4765869291
193	0.4761092685
194	0.4751599876
195	0.4745837696
196	0.4738652401
197	0.473509945
198	0.4730790663
199	0.4725907969
200	0.4721474224
201	0.4718057296
202	0.4711542571
203	0.4704197427
204	0.4697291552
205	0.4689086136
206	0.4686480409
207	0.4681695954
208	0.4678019452
209	0.4671091847
210	0.4667109231
211	0.4658268611
212	0.4655588698
213	0.4650004687
214	0.4647864789
215	0.4643868352
216	0.4641459871
217	0.4639733447
218	0.4634391224
219	0.4629108553
220	0.4624049492
221	0.4616208238
222	0.4609906607
223	0.4607034219
224	0.4601499829
225	0.4598999552
226	0.4593680626
227	0.4587523056
228	0.4577745168
229	0.4569910558
230	0.4566664912
231	0.4562825356
232	0.4554118878
233	0.4551485347
234	0.4549015525
235	0.4547533305
236	0.454205126
237	0.4539870676
238	0.453703588
239	0.4532543218
240	0.4530883192
241	0.4524564552
242	0.4518442786
243	0.4513151749
244	0.450856367
245	0.4500607442
246	0.4495173728
247	0.4493085058
248	0.4484400239
249	0.4480052184
250	0.4473433582
251	0.4467649448
252	0.4462364574
253	0.446107989
254	0.4455392608
255	0.445220209
256	0.4445933611
257	0.444220535
258	0.4436295028
259	0.4428596602
260	0.4425820539
261	0.442158261
262	0.4417803561
263	0.4415343124
264	0.4412295336
265	0.4406883681
266	0.440533355
267	0.4401008
268	0.439637561
269	0.4393211781
270	0.4390480837
271	0.4385327035
272	0.4383241493
273	0.4372224332
274	0.4369388535
275	0.4364168102
276	0.4359536617
277	0.4356042237
278	0.4352483168
279	0.4346424581
