iter	Passed	Remaining
0	11	11832
1	14	7102
2	15	5034
3	17	4402
4	19	3962
5	21	3597
6	23	3317
7	24	3093
8	26	2948
9	28	2781
10	28	2571
11	30	2499
12	31	2408
13	32	2283
14	33	2226
15	35	2183
16	36	2122
17	38	2081
18	39	2047
19	41	2009
20	42	1976
21	42	1910
22	44	1885
23	45	1858
24	46	1795
25	47	1776
26	48	1758
27	50	1742
28	51	1728
29	53	1717
30	53	1673
31	55	1667
32	56	1657
33	58	1648
34	59	1642
35	61	1634
36	62	1626
37	64	1622
38	65	1614
39	66	1606
40	68	1604
41	70	1599
42	71	1589
43	73	1586
44	74	1579
45	75	1575
46	77	1569
47	78	1553
48	79	1547
49	81	1544
50	82	1543
51	84	1542
52	85	1527
53	86	1519
54	88	1513
55	89	1511
56	91	1508
57	92	1506
58	94	1505
59	94	1486
60	96	1482
61	97	1477
62	99	1474
63	100	1466
64	102	1467
65	103	1464
66	105	1462
67	106	1459
68	107	1455
69	109	1453
70	110	1451
71	112	1446
72	112	1430
73	114	1436
74	116	1432
75	117	1430
76	119	1428
77	120	1424
78	123	1444
79	124	1429
80	126	1429
81	127	1426
82	130	1439
83	132	1440
84	133	1438
85	136	1450
86	137	1447
87	139	1443
88	140	1440
89	142	1438
90	143	1434
91	144	1430
92	146	1427
93	147	1424
94	149	1421
95	150	1418
96	151	1414
97	153	1411
98	154	1409
99	156	1406
100	157	1403
101	159	1400
102	160	1398
103	162	1397
104	163	1395
105	165	1393
106	165	1383
107	167	1380
108	167	1371
109	168	1361
110	169	1358
111	170	1355
112	172	1354
113	174	1355
114	176	1355
115	176	1345
116	178	1344
117	179	1343
118	180	1339
119	182	1338
120	184	1336
121	185	1337
122	187	1337
123	189	1335
124	190	1335
125	192	1335
126	194	1335
127	195	1334
128	197	1334
129	201	1350
130	202	1345
131	206	1355
132	221	1446
133	223	1444
134	225	1442
135	226	1441
136	228	1441
137	230	1439
138	231	1436
139	233	1432
140	234	1427
141	235	1425
142	237	1420
143	238	1419
144	240	1417
145	242	1415
146	243	1411
147	244	1409
148	246	1407
149	247	1404
150	249	1401
151	250	1399
152	252	1397
153	253	1395
154	255	1393
155	257	1391
156	258	1388
157	259	1385
158	262	1389
159	264	1388
160	266	1387
161	267	1386
162	269	1385
163	271	1384
164	273	1385
165	275	1383
166	276	1379
167	277	1373
168	279	1373
169	280	1367
170	281	1365
171	288	1389
172	290	1387
173	292	1387
174	293	1384
175	295	1381
176	296	1378
177	297	1375
178	299	1372
179	300	1369
180	301	1365
181	303	1363
182	304	1360
183	306	1357
184	307	1354
185	308	1350
186	310	1349
